酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
黄瓜火腿卷,白土司2片，玛琪淋适量，千岛酱适量，小黄瓜1条，火腿3片，起司片2片
昆布鱼头汤,主料：海带适量，鱼头半个，蛏干若干，千叶豆腐半块配料：生抽适量，糖适量，鸡精少许
鲷鱼野菜沙拉,鲷鱼生鱼片100公克，樱桃萝卜2个，大头菜1/2个，大头菜嫩叶适量，橘子1个，柳橙原汁3大匙，沙拉油2大匙，酱油1小匙，柠檬汁适量
上汤南瓜苗,南瓜苗，皮蛋1个，大蒜，姜片，家乐浓汤宝1个
蛋黄酱土豆沙拉,主料：土豆2个，毛豆一些，烟熏三文鱼1块，蛋黄3个配料：熟葵花子油适量
豆豉香蒸辣五花,五花肉250g，豆豉1小勺，郫县豆瓣酱1大勺
六月鲜红烧鸡翅,完整的鸡翅几个，姜末，葱花，大料，六月鲜红烧酱油，白糖等
枇杷虾,主料：虾肉（２５０克），肥膘（２５克），火腿（２０克），水冬菇（２０克），青豆（２０克），冬笋（２０克），鸡肉（２０克），青虾（去壳成凤尾虾）（１２只），鸡蛋（３只），精盐（４克），猪油（４０克），菱粉（１２.５克），味精（２克）。
海底椰百合煲鸡,海底椰是省港地区很受欢迎的煲汤材料，民间认为它有润肺止咳、滋阴除燥等作用。海底椰常配百合、花旗参、虫草花、竹丝鸡、鳄鱼肉等同样滋润益气的食材一起煲汤，不寒不燥，适合一家大小饮用。（3～4人份）走地鸡：1只蜜枣：3粒海底椰（干）：30克姜：3片水：8碗百合（干）：20克
咸菜炒猪肉,枚头猪肉450克，切片，咸酸菜1包(250克)，洗净切丝，鱼露适量，水1杯半，酱油、生粉、糖、盐、水和油适量
香煎羊小排,羊小排3片350公克，姜末20公克，蒜末20公克，沙拉油2大匙，玉米段1段，柠檬片2片，辣豆瓣1大匙，胡椒1/2小匙，米酒1大匙，糖1小匙，香油1大匙
醋烹鲫鱼,主料：鲫鱼500克，辅料：红尖椒10克，青椒10克，调料：醋10克，酱油4克，盐5克，白砂糖8克，白皮大蒜8克，料酒5克，植物油20克
酸酸甜甜的紫菜包饭,饭，肉松，红萝卜，黄瓜，火腿肠，紫菜
懒人之牛排,2cm厚牛排（西冷，菲力，肉眼均可），海盐，现磨黑胡椒
一口鲑鱼饺,鲑鱼200公克，蛋黄1个，葱花2大匙，姜末1/2大匙，菠菜饺子皮25张，盐2小匙，糖1/3大匙，酒1/3大匙，白胡椒粉2小匙，香油1大匙，太白粉1/3大匙
松软奶油蛋糕,250g室温奶油250g自发面粉180g糖粉100ml牛奶4个鸡蛋2汤匙可可粉
培根薯饼,土豆2个培根4片香葱花20g黑胡椒1/2茶匙（2.5g）盐1/2茶匙（2.5g）鸡蛋一枚面粉3汤匙（20克）油2汤匙（30ml）
焖卤蹄膀,1.蹄膀1个，2.葱3支，辣椒1根，姜片2片，蒜头6个，高汤6∼8杯，卤包1包，酱油1杯，米酒1杯，冰糖1又1/2大匙，香油1/2大匙，柴鱼味精1/2大匙，酱油膏1又1/2大匙
炖鸡蛋糊,鸡蛋一只，葱花少许。
黄瓜金枪鱼冷汤,黄瓜2根（对半剖开，去籽，切小丁），罐装油浸金枪鱼100g，洋葱1个（切碎），水400ml，白醋2汤匙（30ml），时萝15g（切碎），盐1/2茶匙（3g），黑胡椒粉1/3茶匙（2g）
鸡蛋糯米酥（鸡蛋糯米饼）,糯米250克（两个人的分量），鸡蛋2个，酱油10克，油，盐，糖，葱花，五香粉
烤鳟鱼拌辣椒柠檬,红鳟鱼排2大块，橄榄油1汤匙，现磨黑胡椒1茶匙，蒜头2个，切片，新鲜青辣椒1个，切片，柠檬1个，切片
萝卜糕汤,材料Ａ：1斤，材料Ｂ：4两，香菇5朵，虾皮2大匙，红萝卜丝1/4杯，材料Ｃ：2支，葱丝2支，调味料Ａ：2小匙，白胡椒粉1/3大匙，柴鱼味精1/3大匙，香油1/3大匙，高汤8杯，调味料Ｂ：1/2大匙，香油适量，盐适量
鲜虾皮蛋粥,香米2杯，皮蛋1个，尾骨4块，虾200克，金针50克
香辣鳕鱼块,鳕鱼150g，红辣椒1个，小红尖椒2个，蒜3瓣，姜1小块，辣椒酱1大勺，盐少许，鸡精适量
川式泡椒凤爪,鸡爪野山椒葱、姜黄酒花椒八角干辣椒盐
香橙冻芝士,鲜奶油80克，浓缩橙汁60ml，白砂糖10克（打发奶油用），乳酪80克，白砂糖15克（搅拌乳酪用），吉利丁1片（约5克）
蜜汁姜味猪排,植物油30毫升，猪里脊肉6块，去骨，蜂蜜45毫升，水100毫升，酱油60毫升，小洋葱1个，切碎，细生姜末1克，新鲜黑胡椒粉0.5克
芙蓉人参炖金龟,野生乌龟1250克，人参20克，草鱼750克，生姜，盐，鸡蛋，味精，顶汤，生粉，葱各适量
美味扬州炒饭,新鲜热白饭480克，香菇40克，虾仁40克，叉烧40克，嫩豌豆40克，鸡蛋2个，菜油2汤匙，大葱1根，盐3／4茶匙，胡椒粉少许
本帮红烧肉,带皮五花肉，老抽，酱油，冰糖，大葱，姜片，花椒
香草烤羊排饭,羊小排2根，洋葱1/4粒，姜10g，蒜2粒，芹菜10g，香菜茎6g，百里香1/8茶匙，迷迭香1/8茶匙，嫩精1/8茶匙，盐1/4茶匙，味精1/4茶匙，糖1/4茶匙，黑胡椒粉1/4茶匙，料理米酒1茶匙
扇贝黄油柠檬烤串,黄油175克，洋葱1个，切块，蒜头3个，切碎，新鲜柠檬汁4汤匙，盐1小搓，扇贝675克，新鲜欧芹1把，切碎
四神猪肚汤,四神原本指的是茯苓、淮山、莲子和芡实，后来渐渐加入薏米，所以现在一般的四神汤料其实有5种药材，也有的药材店把芡实和薏米算一种，各配一半的分量。四神汤是个性质平和的药膳，对于脾胃虚弱、食欲不振、容易腹泻、免疫力差的人和幼儿发育不佳有不错的调理效果。调味料：米酒：1碗面粉：适量油：适量醋：适量盐：适量云苓（白茯苓）：10克干淮山：15克莲子：15克薏米：15克芡实：10克葱：4条猪肚：半个姜：6片3－4人份
兔子糯米团子,糯米200g，澄粉40g油玉米，盐，抹茶粉，南瓜泥，火龙果皮，紫薯泥，白芸豆馅，糖，紫甘蓝汁
焗烤马铃薯,焗烤盘1个，马铃薯1颗，蛋1颗，蒜头1个，盐少许，黑胡椒粗粉少许，培根碎末少许，奶油少许，比萨用起司丝100g，动物性鲜奶油50㏄，百里香少许
香橙慕斯,1.巧克力派6片，2.桔子汁250公克，蛋黄60公克，细砂糖50公克，3.吉利丁片5又1/2片，4.动物性鲜奶油250公克，5.草莓4颗，6.亮光胶适量
熏腊肉蒸土豆,土豆一只、熏肉一小块、腊肉一小块（可以只用熏肉或腊肉中的一种）、小葱两根
杏仁饼干,低筋面粉160克，黄油160克，杏仁少许，奶粉20克，白糖60克，鸡蛋液50克
红烧白鲳鱼,白鲳鱼两条，葱，姜，盐，料酒，生抽，淀粉，红椒
日式鸡柳,鸡柳200g，鸡蛋2个，面粉少许面包糠适量，豆油300毫升西红柿1个，黄瓜半根，圆白菜少许紫包菜少许，色拉备用，竹叶装饰用
白萝卜炖牛腩,牛腩500克，白萝卜1根，姜1块，八角2个，红枣4个，大葱一根，盐
干锅玉兔,光兔1只（净重750克）。调料湖南小红椒20克，洋葱50克，郫县豆瓣酱、炸蒜瓣、香葱各10克，姜块20克，盐3克，鸡精12克，辣妹子酱25克，料酒16克，香菜2克，红油15克，高汤1千克。
玛格丽特小饼干,低粉200克，粟粉200克，糖粉120克，黄油200克，熟蛋黄4个
菜肉煎饼,猪肉（前腿上部肥瘦相间的部分），青菜，鸡蛋，盐，糖，料酒，葱姜水，油
清烩圆融什锦大家乐,罐头蘑菇1罐（17粒）西刀鱼丸1包（15粒）甜豆1包（20条撕弃两边刃丝）椰菜花（包菜花）1/2个（切圆头尖尾小块）红辣椒2条（弃种子切两头尖斜块）青辣椒2条（同上）红萝卜1条（切圆片）食油蒜蓉1棵（大小10瓣）老姜3片高汤2勺（熬煮调味好的老汤）酱清蚝油花雕酒粟粉（勾芡）
皮蛋炝白菜,白菜，皮蛋，辣椒油
胡萝卜番茄奶昔,胡萝卜50克，番茄100克，牛奶250克，橄榄油适量，蜂蜜适量，炼乳适量
圣诞烤鸡,三黄鸡1只，洋葱1个，土豆1个，胡萝卜1根，甜豆30g，小西红柿8个，大蒜2瓣，黑胡椒碎3g，百里香3g（没有就不放），橄榄油10ml，白兰地10ml（可用料酒代替），蚝油15ml，生抽10ml，蜂蜜15ml，盐少许
培根萝卜丝春,大白萝卜半根培根3长片葱花少许春卷皮9-10张
豆腐鱼丸汤,豆腐。鱼丸。青菜。猪肉。葱。料酒。鸡精。鹽。食用油。芡粉。
芝士海鲜盏,外皮材料：160公克，奶油120公克，糖粉60公克，蛋2个，内馅材料1：400公，干贝75公克，洋菇50公克，香菇50公克，火腿75公克，草菇50公克，内馅材料2：18公克，面粉18公克，起士粉60公克，盐1又1/4小匙，糖1大匙，麻油2小匙，水160㏄，鲜鸡粉1又1/4小匙，胡椒粉1大匙
金枪鱼火腿三明治,白土司、即食火腿片（最好买方形）、即食金枪鱼罐头、千岛酱（色拉酱、蛋黄酱都可以，家里只有千岛酱了）、芝士片、甜菜椒、洋葱、西红柿、生菜叶，三明治
猪肉汉堡,汉堡面包（或其它圆面包）2个，猪肉馅200g，洋葱1/4个（约20g），胡萝卜1/4根(约10g)，鸡蛋1枚，番茄1/2个（约30g），生菜2片，料酒1茶匙（5ml），盐1茶匙（5g），番茄酱2茶匙（10ml），油10ml
瘦肉番茄粉丝汤,用料猪瘦肉100克，番茄100克，粉丝50克，葱、姜、上汤、精盐、味精、料酒、香油各适量。
咖哩鸡椰浆饭,仿土鸡1/2只，洋葱1/2个，椰奶250㏄，椰子粉3大匙，沙拉油3大匙，水200㏄，椰浆饭1碗，蒜仁30公克，红葱头40公克，香茅4根，去籽干红椒4根，南洋肉类咖哩粉3大匙，黄姜粉1茶匙，盐1又1/2茶匙，细砂糖1茶匙
孜然羊肉,羊肉片250克，孜然粉30克，淀粉30克，油2勺，料酒半勺，葱2根，花椒10粒，芝麻（黑或白）5克，盐、辣椒粉各少许
健康水果沙冰,去蒂草莓145克，冷冻蓝莓50克，香蕉2个（剥皮并切成块），橙汁120毫升，原味酸奶335毫升，豆奶粉1汤匙
咖喱肉酱,甜面酱，沙茶酱，黄豆酱，花生酱，咖喱粉，辣椒粉，肉末，虾皮，蒜末，姜末，糖，白芝麻
奶香馒头,香港粉（水仙粉）500克，干酵母5克，白糖10克，温水50毫升，牛奶200毫升
鸡肉蔬菜千层蛋卷,鸡蛋150克，熏鸡肉80克，黄瓜丝5克，洋葱丝30克，胡萝卜丝30克，红尖椒丝20克，生菜50克，盐3克，胡椒粉1克，橄榄油20克
迷人奶酪蛋糕,全麦饼干屑170克，黄油20克，软化，奶油干酪672克，软化，甜炼乳1罐（390克），鸡蛋4个，酸奶油227克，香草精15毫升
咖喱肉松月饼,油皮低筋面粉100克、黄油40克、水40克、白糖5克。油酥低筋面粉70克、咖喱粉5克、黄油40克馅料香菇肉松馅500克份量12块
懒人咖喱饭,日式咖喱块（一般的便利商店和超市都有的，有不辣的中辣和超辣的，至于买哪个就随你自己的口味好了），洋葱1个，土豆3个，胡萝卜1根，青豆少许，超市的炸猪排，炸鸡排，炸鱼排（随你自己喜欢吃什么就买什么），白饭适量
健胃萝卜汤,主料：猪肚1个，鸡腿肉200克，萝卜350克，酸菜100克，红萝卜50克，萝卜叶少许，葱丝，姜末，花椒各少许，盐适量，清汤适量。
太极菊花鱼鳔,微山湖鲤鱼鳔200克，水发刺参150克，发菜20克，黄瓜、胡萝卜、詹王鸡粉、劲霸汤皇、盐、味素、高汤、生粉各适量
腊肠煲仔饭,腊肠，火腿肠，四季豆，酱油，盐，味精，鸡精
红烩肉碎青豆马铃薯,猪肉碎500g马铃薯5粒（去皮切1/6片）罐头青豆（小）1罐#把空罐子连盖放入环保分类袋#大洋葱半个（切丝）红萝卜1/3条（切丝）青葱粒1根食油盐蒜茸1颗（大小10瓣）姜丝5片八角2粒酱清晒油蚝油胡椒粉冰糖3-4粒红酒100ml粟粉（米汤芡）
鳕鱼培根片,材料：鳕鱼，培根片，扁豆切丝。
柠檬炸鸡条,蜂蜜适量，法式芥末酱适量，鸡里肌条4条，低筋面粉适量，米酒适量，胡椒盐适量，柠檬汁20㏄，脆炸粉4大匙，低筋面粉适量，太白粉1大匙，水适量，蛋1颗
六鲜面疙瘩,面粉，面粉，盐，鸡精，蛋，黑木耳，菌菇，香肠
蛋肉大虾,用料猪里脊肉120克，大虾180克，鸡蛋清3个，面包丁60克，冬笋25克，海参15克，水发冬菇15克，猪油、料酒、豆粉、番茄酱、熟瘦火腿、香菜叶、味精、干面粉、清汤、胡椒粉、葱、姜末、精盐各适量。
辣萝卜蒸日本豆腐,辣萝卜30克，午餐肉45克，辣萝卜汁3汤勺，日本豆腐2条
薏仁苓术羊肉煲,主料：羊肉(肥瘦)500克，羊骨100克，辅料：薏米50克，茯苓25克，苍术10克，白萝卜500克，调料：大葱5克，姜5克，花椒5克，白胡椒1克，盐2克，料酒5克
香蕉奶油司康,自发粉400g，熟香蕉一根，中等大小，淡奶油250g，白糖100g
糯米八宝鸡,本鸡1只（约2.5斤左右），糯米适量，姜一块，葱2根，腊肠1根，干香菇少许，干莲子，花生仁少许，虾干适量，胡萝卜半根，豌豆少许，冬笋小半根，盐，鸡精，糖少许，美极鲜酱油，料酒，香油，椒盐适量
糖醋旗鱼丁,旗鱼肉180公克，青椒40公克，红甜椒25公克，黄甜椒25公克，A.盐1/4茶匙，蛋白1大匙，白胡椒粉1/4茶匙，料酒1茶匙，B.蕃茄酱2大匙，白醋2大匙，水1大匙，细糖2大匙半，C.太白粉4大匙，太白粉水1茶匙，香油1茶匙
白松鱼丸,用料主料：净鲢鱼蓉200克配料：青椒调料：精盐、味精、葱姜汁、鸡蛋清、清汤、干淀粉、精炼油、明油
汉堡包,高筋粉210克，低筋粉56克，奶粉20克，细砂糖42克，盐1/2茶匙，干酵母6克，鸡蛋30克，水85克，汤种84克，无盐黄油22克，芝麻适量
节瓜虾干鱼丸煮粉丝,节瓜2个，虾干适量，白鱼丸8粒，粉丝1把，姜2片，蒜瓣1粒，鸡精半粒，热水1碗，盐适量
黄花菜丝瓜瘦肉汤-清淡美容靓汤,主料：干黄花菜80g丝瓜350g瘦肉80g辅料：油适量盐适量生粉适量竹笙适量鸡精适量
芹菜炒牛肉,嫩牛肉300克，芹菜150克，绍酒40克，酱油20克，白糖10克，小苏打5克，水淀粉20克，胡椒粉1克，葱姜片20克，姜末2克，花生油500克，味精少许
薏仁绿豆刨冰,绿豆200g，细砂糖100g，麦芽30g薏仁150g，果糖适量刨冰适量，炼乳适量，枸杞少许，果糖少许
草莓奶酪布丁蛋糕,草莓一小碗，百吉福奶酪（草莓味）2罐，吉利丁1片，鸡蛋4个，油50G，牛奶50G，低粉70G，糖：40G，香草精少许，白醋2滴
蔓越莓酸奶油面包,水75克香草精3-4滴酸奶油60克鸡蛋1个黄油15克高筋面粉250克砂糖30克盐4克干酵母4克蔓越莓干60克鸡蛋液适量（用于刷在面团上）
蔬菜培根焗饭,橄榄　　　50g　　，竹笋　　　60g　　，芦笋　　　100g，胡萝卜　　100g　　，青椒　　　100g　　，培根　　　100g，芝士　　　100g　　，蒜　　　1瓣　　，盐　　　适量，米饭　　　适量　　，油　　　　适量
榴莲芝士蛋糕,配料：奶油芝士(creamcheese)200克，全蛋25克，蛋黄1个，蛋白1个，细砂糖40克+15克，榴莲肉90克，低粉12克海绵蛋糕底：鸡蛋2个，细砂糖20克(加入蛋黄)，细砂糖30克（加入蛋清），低筋面粉60克烘焙：水浴法，上下火150℃，约烤1个小时
秘制扒肘子,肘子1个，葱2克，花椒3克，大料2克
蟹块炖冬瓜,毛蟹400g，冬瓜250g，高汤、精盐、味精、熟猪油、豆油、姜丝、香菜各适量。
五彩嫩鸡,主料：鸡胸肉250克，毛豆1大匙，黄，红椒各1/4个，胡萝卜1/2个，香菇2朵，盐1小匙，胡椒粉1/2大匙，淀粉1大匙，蛋白1/2个，香油适量。五加皮100克。
竹笙木瓜浸肉丸,竹笙（水发后）200克，木瓜200克，豆腐2块，肉丸200克，姜片15克，盐、糖、鸡汤各适量
核桃酸奶蛋糕,(垫底，夹层和表面)消化饼干100g核桃碎50g黄油50g红糖50g肉桂粉3g(糕体)低粉170g黄油130g酸奶150g鸡蛋2个糖70g泡打粉2.5g盐一点点
苦瓜蒸仔鸡,主料：苦瓜，鸡腿鸡蛋，香菇，葱，姜盐，鸡精，胡椒粉，蚝油，白糖，料酒，香油，淀粉，豆豉
豆鼓蒸鲳鱼,主料：平鱼1000克，辅料：猪油（板油）100克，调料：盐5克，味精2克，料酒10克，猪油30克，大葱10克，姜5克，辣椒(红，尖，干)5克，豆豉15克，酱油10克
简单好吃香煎鸡翅,冰冻鸡翅6只，油，辣椒酱，酱油
清炖鸡汤,鸡腿1只，当归6克，五指毛桃15克，红枣3颗，生姜2片，清水2碗约450毫升，盐适量
玫瑰花面包,高粉200克，低筋面包粉50克，酵母粉3克，细砂糖40克，盐3克，奶粉10克，蛋25克，水135克，黄油25克
蜜汁烤雞腿,去骨雞腿肉1塊，醬油2匙，蒜1瓣，料酒1匙，蜂蜜2匙，白芝麻適量，白砂糖2小匙
三丝羹,黄萝卜泡菜1/4杯，肉羹1/2斤，红萝卜丝1/5杯，香菇丝2朵，蛋1个，高汤5杯，蒜末1大匙，1.盐1又1/2小匙，乌醋1大匙，糖1/2大匙，柴鱼味精1又1/3小匙，白胡椒粉2小匙，香油2小匙，2.太白粉2大匙，水1/4杯
白脱牛奶煎饼,面粉375克，白糖40克，烘焙粉10克，烘焙苏打7克，盐5克，白脱牛奶710毫升，牛奶120毫升，鸡蛋3只，黄油75克，化开
清炖甲鱼,用料甲鱼1只，水发冬菇、鸡腿肉各50克，精盐、味精、香菜、葱、姜、绍酒、鸡汤、香油各适量。
